rainfall,water_level,flow_rate,temperature,humidity,wind_speed,flood
15.4,3.03,30.1,34.3,88.5,44.2,0
67.4,2.8,33.1,24.4,41.4,41.6,0
161.8,1.0,63.8,25.3,77.3,11.9,0
57.0,2.75,64.9,28.4,51.7,40.4,0
167.0,1.6,114.7,39.6,62.3,14.1,1
105.5,3.4,101.7,35.0,39.7,12.5,1
174.8,2.16,30.3,36.1,89.6,14.3,1
54.6,3.22,34.7,25.9,96.2,11.1,0
69.9,0.58,25.3,27.6,46.5,49.7,0
5.6,3.29,103.9,31.2,85.4,6.9,0
166.0,2.59,33.9,32.6,61.4,0.3,1
51.2,3.0,74.9,33.2,66.9,5.6,0
60.2,0.64,62.0,34.8,62.0,5.5,0
119.3,0.55,71.5,21.0,40.1,21.5,0
48.1,1.75,86.4,17.1,98.2,3.4,0
101.5,3.46,75.4,24.8,62.9,31.8,1
50.7,0.55,98.9,23.6,81.3,31.4,0
147.0,1.5,24.4,28.7,86.9,8.8,0
92.9,2.59,83.2,35.3,34.4,38.8,1
58.7,0.63,39.9,16.0,95.3,25.8,0
108.6,1.26,95.3,19.8,55.0,39.0,0
66.4,0.87,56.8,37.2,82.0,44.7,0
194.7,1.99,69.8,38.1,66.3,40.1,1
15.8,2.31,102.2,28.6,52.5,4.0,0
61.3,2.31,62.6,32.2,54.6,2.1,0
70.5,3.49,47.5,39.5,96.4,3.8,1
72.7,2.9,87.9,38.8,40.0,30.4,1
7.0,0.7,97.9,24.2,56.8,28.4,0
135.8,3.35,57.2,34.1,70.2,26.5,1
129.9,1.25,31.3,33.4,64.9,19.3,0
52.4,1.28,64.6,39.9,50.0,45.8,0
24.5,3.06,65.2,37.5,61.2,4.4,0
169.1,1.46,54.7,16.6,68.0,44.6,1
142.4,3.28,83.8,34.8,65.6,6.1,1
27.8,2.87,22.6,28.9,55.8,40.2,0
122.4,0.76,50.9,40.0,80.3,26.3,0
164.7,0.72,117.2,31.1,61.5,34.0,1
175.6,2.84,84.0,19.5,97.6,21.6,1
11.1,0.87,35.3,19.1,52.6,35.5,0
188.2,3.18,104.6,21.3,74.5,27.5,1
60.6,2.1,70.3,19.2,95.9,7.7,0
144.1,2.32,104.3,29.1,87.8,1.4,1
128.3,2.23,85.1,34.2,59.2,31.9,1
125.4,1.37,115.7,27.1,86.3,34.2,1
14.6,0.68,64.0,27.1,44.3,30.3,0
143.7,2.7,106.1,39.4,39.2,18.5,1
63.8,1.9,46.7,21.2,36.8,14.5,0
123.1,1.24,106.5,19.0,52.9,28.9,0
152.6,1.99,71.5,27.5,51.6,1.2,1
101.1,3.4,41.5,23.8,33.5,24.7,1
130.9,1.91,73.7,36.2,60.2,44.1,1
152.8,1.6,60.1,29.3,43.6,27.7,0
100.9,2.79,48.0,39.7,77.6,5.9,1
78.8,2.88,53.9,38.5,82.8,10.0,0
100.0,0.64,33.7,23.3,63.2,22.8,0
103.1,1.48,81.3,19.1,99.3,37.0,0
67.3,2.98,73.2,32.7,51.0,40.8,0
134.8,3.44,78.4,34.9,80.8,34.4,1
94.9,3.4,98.3,34.4,70.4,36.1,1
34.1,2.39,82.0,36.0,40.3,34.0,0
189.6,0.83,21.9,22.8,40.6,34.5,0
155.0,3.26,107.3,33.4,34.4,6.9,1
65.0,2.49,72.5,22.8,42.1,45.6,0
70.9,2.82,92.1,31.1,78.5,30.5,0
49.3,2.17,42.5,39.3,50.8,14.5,0
141.0,1.45,54.9,38.3,85.7,13.7,0
135.3,1.64,118.0,35.5,96.8,40.2,1
57.5,2.64,54.6,26.1,48.0,24.0,0
107.7,3.3,89.6,18.4,73.1,29.3,1
134.0,2.09,83.8,16.3,58.9,35.9,1
154.2,0.52,75.0,38.2,58.5,46.8,0
95.5,1.1,116.4,23.0,75.2,45.4,0
114.8,2.11,92.3,38.4,93.9,8.8,1
35.2,3.26,119.7,24.9,64.7,46.8,1
185.2,3.13,20.9,29.2,37.5,49.1,1
197.8,2.13,69.4,38.5,89.6,23.4,1
22.5,0.99,65.9,21.4,43.0,36.8,0
113.6,2.77,37.5,36.4,92.8,41.3,0
17.3,2.51,38.5,18.5,52.7,12.4,0
47.1,2.76,115.4,22.5,80.6,0.6,1
138.6,0.69,31.8,22.7,58.4,25.1,0
140.7,1.43,31.7,37.9,50.7,30.7,0
26.7,0.96,94.8,30.1,59.1,27.5,0
107.5,2.49,41.8,21.2,82.8,43.7,0
89.3,2.61,27.8,29.1,34.3,27.4,0
114.5,0.95,52.8,28.0,38.1,10.3,0
18.2,2.03,100.9,26.3,65.9,22.8,0
92.5,2.92,92.3,24.9,87.2,37.3,1
9.1,1.53,26.4,39.9,95.4,3.5,0
6.3,1.73,96.9,34.1,98.5,32.3,0
198.6,1.65,107.0,37.7,56.3,34.1,1
107.9,2.46,54.8,19.5,67.6,26.4,0
44.5,0.51,22.3,22.5,77.1,27.2,0
164.7,1.24,54.6,21.9,95.6,36.3,0
161.9,1.76,96.6,37.1,31.1,10.3,1
6.7,2.29,90.3,16.2,81.8,20.1,0
43.5,3.09,25.6,27.6,50.2,40.8,0
63.8,2.29,87.3,23.0,51.1,7.2,0
44.2,1.4,26.1,38.7,91.6,45.6,0
85.4,1.99,117.2,38.5,77.0,39.3,0
83.3,0.95,57.6,33.9,63.1,42.5,0
141.5,2.92,111.5,29.1,97.7,27.9,1
48.6,1.11,84.7,38.1,89.3,4.6,0
38.1,1.31,87.4,30.1,91.2,9.4,0
144.9,2.18,67.9,36.7,53.3,47.9,1
187.4,3.39,31.7,40.0,63.5,12.1,1
40.9,3.25,75.2,34.4,56.6,26.7,0
52.3,2.04,69.7,17.5,98.7,23.5,0
182.9,1.61,61.4,29.1,45.5,7.3,1
187.0,2.24,61.8,18.8,53.1,19.0,1
99.9,2.46,88.5,21.4,87.5,48.3,1
98.1,1.0,99.5,19.2,80.4,24.4,0
108.4,2.43,25.9,15.8,89.3,47.3,0
152.9,1.74,104.3,20.8,79.5,0.5,1
74.6,2.35,86.7,30.4,63.8,24.4,0
110.3,0.54,72.9,21.9,98.4,0.9,0
134.8,2.92,111.0,17.7,36.7,7.4,1
105.3,2.95,46.7,24.9,56.1,20.3,1
198.0,1.18,88.4,36.2,75.8,42.9,1
18.7,1.64,75.3,16.4,30.7,8.6,0
86.8,2.85,76.6,36.4,36.7,26.4,0
42.3,3.1,108.8,26.9,33.3,3.7,1
179.9,2.19,23.3,38.2,52.0,48.1,1
150.5,2.64,59.8,16.9,41.4,12.0,1
77.8,3.19,53.2,33.9,39.8,49.4,1
100.2,3.42,25.4,25.9,88.7,17.0,1
191.0,1.69,97.4,15.7,49.1,49.6,1
71.2,3.32,63.2,32.0,76.2,4.3,1
159.6,2.64,28.2,18.9,79.8,31.7,1
63.3,0.82,20.5,22.7,55.2,13.5,0
37.5,1.85,75.5,25.2,31.8,17.7,0
119.6,1.47,58.5,22.3,57.1,4.2,0
181.0,3.43,77.2,19.2,56.7,6.9,1
98.6,0.69,63.5,25.5,63.9,3.8,0
49.3,2.38,79.4,19.9,37.5,15.2,0
66.4,2.36,100.4,23.2,53.4,40.8,1
194.8,0.91,52.1,38.7,44.1,15.7,1
193.7,1.37,89.5,27.3,70.3,12.1,1
163.3,1.68,31.4,29.1,71.5,27.3,0
110.0,3.36,66.2,32.7,60.7,14.6,1
163.8,2.89,60.9,27.5,74.3,12.1,1
143.0,2.87,27.4,39.8,63.5,20.0,1
184.1,2.58,74.4,34.8,55.2,44.8,1
127.6,0.75,96.9,31.4,54.9,32.3,0
196.7,2.53,60.0,33.8,97.6,21.5,1
51.7,2.03,71.9,29.5,70.3,22.3,0
154.5,2.27,70.0,23.6,31.7,5.2,1
192.3,0.85,114.1,18.5,51.8,22.8,1
96.6,1.93,63.8,32.4,52.3,15.0,0
23.0,3.05,84.8,31.9,41.5,49.2,0
34.9,0.98,76.0,39.0,46.2,20.3,0
128.1,1.8,22.9,30.4,43.8,29.6,0
140.9,1.12,95.2,35.2,34.4,5.1,1
37.4,1.48,65.8,21.6,90.4,26.4,0
119.4,2.33,78.7,23.7,89.2,30.9,1
141.2,1.39,81.4,17.1,39.4,5.9,0
36.6,2.58,71.1,25.5,39.7,19.2,0
127.1,2.58,84.5,40.0,68.8,24.5,1
62.9,1.85,25.4,24.0,30.7,6.8,0
192.8,2.02,69.5,32.1,59.1,42.0,1
16.5,0.59,96.1,22.3,49.2,26.9,0
91.5,2.73,96.6,28.7,37.9,5.7,1
164.7,1.6,102.3,16.0,80.3,27.3,1
20.5,2.99,95.1,22.4,100.0,22.5,0
163.3,1.82,119.4,34.4,46.6,40.5,1
70.1,2.63,83.3,19.1,39.7,10.3,0
11.9,1.55,48.1,28.5,52.7,35.2,0
53.5,3.07,118.5,32.0,36.7,48.1,1
183.8,3.48,106.7,18.2,90.6,12.5,1
165.7,2.78,87.6,27.2,70.4,13.4,1
90.4,2.4,108.0,17.3,66.1,13.9,1
73.8,3.35,52.7,15.1,84.2,36.6,1
91.7,2.49,55.8,16.6,67.4,10.9,0
42.4,1.31,102.8,23.4,70.5,28.3,0
68.7,2.55,24.8,17.5,84.9,23.0,0
171.5,1.82,20.1,39.0,44.2,34.4,0
130.0,0.98,113.3,21.9,75.8,12.5,0
180.8,1.0,59.6,22.6,79.0,11.7,1
140.7,0.5,67.7,18.3,45.8,34.0,0
139.1,2.95,118.8,25.6,39.3,3.5,1
146.2,0.81,51.3,37.0,39.6,38.7,0
26.6,3.48,34.3,28.3,30.6,32.5,0
144.5,2.38,35.1,25.3,78.1,43.0,0
20.1,2.76,79.0,24.6,97.4,15.7,0
55.4,0.75,75.3,30.0,72.5,38.9,0
169.6,2.48,50.2,27.9,65.7,37.4,1
10.9,3.19,115.5,27.4,37.9,25.0,0
105.7,3.43,118.7,38.3,39.2,43.0,1
73.1,2.55,96.3,38.9,83.9,0.8,0
52.4,0.62,26.0,34.7,65.5,31.4,0
83.1,2.61,28.2,28.4,73.1,13.9,0
102.3,1.11,100.8,28.4,57.4,31.7,0
136.2,0.7,89.9,33.2,89.3,2.9,0
86.9,1.86,80.9,22.7,81.9,37.0,0
141.6,2.6,36.4,38.8,66.6,39.1,1
33.4,0.88,98.1,21.7,92.0,38.6,0
161.4,1.32,26.4,32.8,70.4,3.9,0
72.0,2.0,76.7,24.2,47.9,5.1,0
144.6,1.19,70.9,16.1,90.4,12.2,0
76.6,0.95,113.1,36.4,68.7,45.7,0
83.9,1.47,61.6,33.0,49.0,3.9,0
100.4,3.21,37.9,35.1,98.7,47.7,0
93.0,1.35,104.5,23.2,68.7,0.4,0
112.8,1.41,82.3,26.6,71.4,24.7,0
39.1,3.2,96.0,21.1,30.4,20.5,0
69.3,3.02,107.7,38.8,30.1,32.9,1
145.4,0.81,73.0,21.0,64.4,3.0,0
142.3,0.78,112.1,37.4,66.4,35.0,0
194.9,0.75,29.6,18.3,87.4,3.7,0
87.0,3.39,43.7,21.5,52.1,40.0,1
147.1,1.45,47.2,16.9,44.2,39.0,0
31.1,0.99,66.6,25.2,67.5,48.2,0
61.7,1.3,32.0,18.9,78.0,41.3,0
8.1,3.01,52.8,17.3,47.4,17.8,0
135.4,1.28,119.1,15.8,58.3,22.6,1
50.0,1.89,100.4,18.5,30.8,41.5,0
26.1,2.97,57.2,30.8,75.1,29.1,0
162.5,0.57,26.4,37.6,61.0,6.4,0
165.9,1.49,24.3,26.5,41.8,28.7,0
79.0,0.59,88.3,19.3,45.0,9.4,0
176.7,0.6,81.9,21.1,50.7,20.6,0
12.2,1.34,33.7,20.0,91.9,26.3,0
160.4,2.88,118.9,34.5,55.1,27.2,1
182.5,2.01,58.8,19.5,52.3,11.0,1
155.7,0.68,119.2,28.2,83.7,50.0,1
20.0,2.47,46.7,35.4,94.2,2.8,0
43.9,3.04,99.7,23.9,88.7,42.3,0
118.5,2.92,89.8,37.8,32.0,35.0,1
112.7,2.19,38.8,39.7,91.7,24.6,0
98.1,0.77,43.3,20.5,66.9,0.0,0
40.3,0.89,91.7,38.0,89.1,16.2,0
117.3,3.25,97.4,36.2,90.2,48.0,1
188.4,1.69,30.1,22.5,39.6,7.9,1
158.4,3.38,84.9,19.4,97.8,34.7,1
157.4,1.17,78.9,19.4,51.5,34.4,0
145.8,3.35,114.9,24.8,99.6,48.3,1
120.5,3.26,116.8,20.5,69.6,46.8,1
149.1,1.21,118.2,19.2,92.0,4.4,1
127.8,3.16,64.7,21.6,47.5,3.4,1
21.6,0.5,58.6,33.3,97.8,44.2,0
75.7,2.14,30.1,27.0,90.5,32.5,0
32.5,0.72,104.6,22.4,52.3,47.6,0
34.0,1.63,93.2,28.7,92.9,4.7,0
122.7,1.95,23.1,38.6,41.5,44.5,0
20.3,1.12,39.0,32.4,80.5,36.5,0
56.3,1.21,25.0,29.3,88.8,7.7,0
85.5,1.38,86.2,30.0,44.0,1.3,0
58.4,0.75,104.4,22.7,57.8,24.5,0
18.2,2.13,38.5,37.1,55.9,22.3,0
93.0,1.18,46.9,16.5,82.7,33.4,0
68.8,2.12,117.1,29.7,68.8,42.0,1
83.7,2.11,106.7,26.9,91.7,23.8,0
180.6,2.64,70.2,37.5,86.0,33.9,1
24.1,2.77,37.3,39.6,98.1,40.4,0
84.7,3.46,63.5,39.9,73.9,41.7,1
182.2,3.24,26.7,24.7,57.8,16.3,1
91.6,3.12,98.7,30.6,66.6,21.0,1
29.6,2.26,95.8,38.5,94.7,28.1,0
57.2,2.11,54.4,25.3,56.8,24.3,0
7.5,1.33,34.4,30.2,78.6,1.9,0
66.3,1.21,94.6,38.0,92.8,1.0,0
60.6,1.34,69.2,32.4,36.9,43.4,0
194.8,1.83,102.6,21.7,59.2,32.3,1
42.3,2.97,94.1,34.0,90.7,41.1,0
31.8,1.43,70.7,18.4,89.6,44.0,0
38.6,3.0,103.7,21.2,62.0,45.9,1
54.8,2.97,70.5,30.9,38.7,1.5,0
118.8,1.03,107.0,29.7,54.5,8.2,1
149.8,2.57,48.5,24.7,41.4,28.6,1
171.4,2.44,87.8,21.7,58.7,1.0,1
153.5,0.53,111.2,31.2,72.1,0.4,0
161.0,1.42,116.7,31.1,59.7,18.8,1
50.4,1.9,87.7,35.6,57.8,5.1,0
132.5,3.03,57.4,31.2,72.6,14.9,1
12.8,3.47,84.1,36.5,48.3,35.6,0
59.8,0.95,96.5,37.5,86.4,40.1,0
132.1,2.54,92.1,31.4,99.8,13.0,1
77.7,0.61,90.8,29.3,43.3,36.3,0
106.9,2.85,110.7,31.8,65.5,42.3,1
175.3,1.04,29.8,18.2,48.1,40.4,0
36.6,2.54,53.6,17.2,54.9,37.2,0
157.6,1.49,46.1,22.4,89.6,23.5,0
116.7,3.33,27.1,37.2,65.0,43.4,1
59.7,0.66,105.4,18.4,44.0,20.5,0
181.3,1.87,51.6,32.9,84.5,24.4,1
35.4,2.4,20.5,21.8,83.3,8.4,0
97.9,2.79,28.8,30.4,74.3,20.2,0
76.7,0.61,39.9,24.3,31.0,16.1,0
38.1,2.53,82.7,21.2,78.5,17.2,0
76.7,2.27,36.7,35.6,50.9,14.5,0
119.3,1.51,108.8,39.9,54.0,45.1,1
37.7,3.34,111.8,25.1,46.0,36.4,1
146.8,2.27,36.9,24.2,75.5,1.9,1
51.2,2.1,24.9,39.9,76.3,32.7,0
137.9,1.75,58.0,28.7,63.2,7.7,0
126.1,1.4,86.2,31.6,48.9,30.3,0
166.1,0.81,91.9,17.9,38.0,5.3,0
39.9,1.29,72.3,20.0,79.2,14.8,0
99.3,1.12,113.3,23.3,30.2,33.6,0
167.0,2.51,34.9,17.3,65.8,36.2,1
51.2,1.19,118.9,22.4,62.5,5.0,0
7.9,1.37,100.2,22.8,81.7,4.7,0
9.2,3.06,86.3,19.3,55.0,21.9,0
175.7,0.78,101.5,19.6,58.1,48.1,1
77.1,3.05,100.0,31.2,85.8,5.7,1
11.7,3.33,35.9,25.4,71.4,40.1,0
36.3,1.64,55.9,15.7,77.9,41.9,0
26.1,3.26,31.3,25.3,33.2,13.1,0
140.9,2.53,96.8,29.4,69.6,48.9,1
67.7,2.07,90.1,17.4,76.3,12.4,0
135.3,1.65,103.9,29.0,99.1,2.7,1
31.4,3.05,105.2,36.7,35.2,24.6,0
194.0,0.65,42.3,31.1,58.2,11.7,0
160.3,1.84,105.7,26.2,38.3,24.9,1
20.5,1.74,75.7,15.0,36.4,30.2,0
60.9,2.03,40.7,31.8,96.5,18.2,0
44.6,1.86,76.0,30.5,63.1,32.9,0
22.8,2.78,42.2,23.5,88.1,48.2,0
104.4,2.61,24.6,19.1,39.8,35.8,0
21.4,2.33,38.8,38.3,57.5,22.9,0
143.4,0.82,61.4,38.2,88.6,29.4,0
90.1,2.48,115.6,18.4,64.9,26.5,1
187.1,3.02,68.3,27.7,94.5,8.9,1
146.1,0.89,58.7,30.0,91.8,25.2,0
195.9,3.25,96.2,21.8,97.5,48.5,1
26.7,1.74,90.0,33.7,50.9,35.1,0
142.4,3.31,83.3,20.0,73.7,14.5,1
134.5,3.44,85.0,39.0,65.3,34.7,1
23.1,1.56,68.0,29.3,76.7,20.9,0
168.3,1.36,104.7,35.2,66.6,1.3,1
134.1,1.1,95.0,19.0,50.1,12.5,1
138.1,1.39,95.4,15.8,87.0,5.1,1
147.9,3.09,94.2,29.0,46.6,39.2,1
57.5,2.49,112.6,24.7,97.0,48.8,0
110.4,0.54,45.1,30.5,84.7,43.5,0
182.3,2.61,84.8,33.9,68.3,30.2,1
192.9,1.38,37.7,32.1,43.1,8.7,1
75.4,1.79,75.7,18.3,70.9,12.8,0
141.9,0.96,35.4,23.1,33.6,46.6,0
132.4,1.97,77.3,24.0,84.9,15.9,0
36.8,0.7,70.5,25.4,67.6,4.6,0
42.7,1.5,56.1,20.5,82.7,26.5,0
164.7,3.44,20.9,31.7,61.2,45.2,1
124.2,3.38,88.3,23.0,94.1,47.2,1
108.0,1.35,111.1,35.6,56.2,40.1,0
8.8,3.19,39.3,27.8,96.4,8.4,0
107.6,0.52,26.5,31.8,84.2,43.2,0
20.8,2.11,90.3,39.4,84.3,32.3,0
